
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
10-0103                          C20                               49   1      1   1   1 1           1 0 XSIG030224          (2992-79-13)
10-0103                          C20                               49   1      2   1   1 2           2 0 GND                 (2992-1-13)
10-0103                          C21                               48   1      1   1   1 1           1 0 XSIG030226          (2992-80-13)
10-0103                          C21                               48   1      2   1   1 2           2 0 GND                 (2992-1-13)
10-0103                          C33                               51   1      1   1   1 1           1 0 VCC                 (2992-14-13)
10-0103                          C33                               51   1      2   1   1 2           2 0 GND                 (2992-1-13)
10-0103                          C34                               50   1      1   1   1 1           1 0 VCC                 (2992-14-13)
10-0103                          C34                               50   1      2   1   1 2           2 0 GND                 (2992-1-13)
20-0003                          D1                                55   1      1   1   1 2           2 0 VCC                 (2992-14-13)
20-0003                          D1                                55   1      2   2   1 1           1 0 XSIG020039          (2992-62-13)
20-0004                          D2                                56   1      1   1   1 2           2 0 VCC                 (2992-14-13)
20-0004                          D2                                56   1      2   2   1 1           1 0 XSIG020038          (2992-61-13)
30-0019                          Q1                               113   1      1   1   1 3           3 0 XSIG050280          (3093-2-13)
30-0019                          Q1                               113   1      2   2   1 1           1 0 LED_HP_R            (2992-36-13)
30-0019                          Q1                               113   1      3   3   1 2           2 0 GND                 (2992-1-13)
30-0019                          Q2                               111   1      1   1   1 3           3 0 XSIG050279          (3093-1-13)
30-0019                          Q2                               111   1      2   2   1 1           1 0 LED_HP_G            (2992-37-13)
30-0019                          Q2                               111   1      3   3   1 2           2 0 GND                 (2992-1-13)
30-0019                          Q3                               114   1      1   1   1 3           3 0 XSIG050278          (3084-2-13)
30-0019                          Q3                               114   1      2   2   1 1           1 0 LED_HP_B            (2992-54-13)
30-0019                          Q3                               114   1      3   3   1 2           2 0 GND                 (2992-1-13)
30-0019                          Q4                               112   1      1   1   1 3           3 0 XSIG050277          (3084-1-13)
30-0019                          Q4                               112   1      2   2   1 1           1 0 LED_HP_W            (2992-55-13)
30-0019                          Q4                               112   1      3   3   1 2           2 0 GND                 (2992-1-13)
30-0019                          Q8                               102   1      1   1   1 3           3 0 XSIG050175          (2992-94-13)
30-0019                          Q8                               102   1      2   2   1 1           1 0 LED1_R              (2992-17-13)
30-0019                          Q8                               102   1      3   3   1 2           2 0 GND                 (2992-1-13)
30-0019                          Q9                               103   1      1   1   1 3           3 0 XSIG050085          (2992-82-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
