Ref Des	Quantity	Value	Part Label	Part Number	Description	Distributor code	Option	Place
STM32	1	 	STM32F405RGT6	40-0208	ARM Cortex-M4 32b MCU, FPU, 210DMIPS, up to 1MB Flash/192-4KB RAM, USB OTG HS/FS, 17 TIMs, 3 ADCs, ST STM32F405RGT6, case LQFP64	Fa : 2333283	 	 
FDC1	1	 	FDC2214RGHT	40-0288	28-Bitt Capacitance-to-Digital Converter for Proximity and Level Sensing Applications,  Texas Instruments, FDC2214RGHT, case WQFN-E 16	Fa : 2499124	 	 
FDC2	1	 	FDC2214RGHT	40-0288	28-Bitt Capacitance-to-Digital Converter for Proximity and Level Sensing Applications,  Texas Instruments, FDC2214RGHT, case WQFN-E 16	Fa : 2499124	 	 
U3	1	 	CS4344-CZZ	40-0303	Audio D/A Converter ICs Stereo DAC 24-Bit 192kHz, Cirrus Logic CS4344-CZZ, case TSSOP10	Mouser : 777-CS4344-CZZ	 	 
U4	1	 	NCP1117LPST33T3G	40-0304	3.3 Low dropout regulateur, 18V input, 1.8V dropout, 1A, On Semi NCP1117LPST33T3G, case SOT-223-3	Fa : 2534283	 	 
L1	1	18uH	SELF 18uH 0805	50-0040	High frequency inductance, SMD, Series MLF, 18 µH, 5 mA, 0805, Multilayers, 0.8 ohm, Q=30, self res freq = 20-38MHz, TDK MLF2012C180K	Fa : 1669551	 	 
L2	1	18uH	SELF 18uH 0805	50-0040	High frequency inductance, SMD, Series MLF, 18 µH, 5 mA, 0805, Multilayers, 0.8 ohm, Q=30, self res freq = 20-38MHz, TDK MLF2012C180K	Fa : 1669551	 	 
L3	1	18uH	SELF 18uH 0805	50-0040	High frequency inductance, SMD, Series MLF, 18 µH, 5 mA, 0805, Multilayers, 0.8 ohm, Q=30, self res freq = 20-38MHz, TDK MLF2012C180K	Fa : 1669551	 	 
L4	1	18uH	SELF 18uH 0805	50-0040	High frequency inductance, SMD, Series MLF, 18 µH, 5 mA, 0805, Multilayers, 0.8 ohm, Q=30, self res freq = 20-38MHz, TDK MLF2012C180K	Fa : 1669551	 	 
L5	1	18uH	SELF 18uH 0805	50-0040	High frequency inductance, SMD, Series MLF, 18 µH, 5 mA, 0805, Multilayers, 0.8 ohm, Q=30, self res freq = 20-38MHz, TDK MLF2012C180K	Fa : 1669551	 	 
L6	1	18uH	SELF 18uH 0805	50-0040	High frequency inductance, SMD, Series MLF, 18 µH, 5 mA, 0805, Multilayers, 0.8 ohm, Q=30, self res freq = 20-38MHz, TDK MLF2012C180K	Fa : 1669551	 	 
L7	1	18uH	SELF 18uH 0805	50-0040	High frequency inductance, SMD, Series MLF, 18 µH, 5 mA, 0805, Multilayers, 0.8 ohm, Q=30, self res freq = 20-38MHz, TDK MLF2012C180K	Fa : 1669551	 	 
L8	1	18uH	SELF 18uH 0805	50-0040	High frequency inductance, SMD, Series MLF, 18 µH, 5 mA, 0805, Multilayers, 0.8 ohm, Q=30, self res freq = 20-38MHz, TDK MLF2012C180K	Fa : 1669551	 	 
L9	1	 	ILHB0805ER601V	50-0045	Ferrite 600 ohms @ 100Mhz, 2.A, 0.1 ohms, VISHAY ILHB0805ER601V, case 0805	Fa : 1474424	 	 
J22	1	 	DC JACK 2.5	70-0001	Power DC jack / Center pin 2.5	RS : 486-678	 	 
J12	1	 	JUMPER 3PTS	70-0003	Jumper 3 points en ligne 2.54mm avec cavalier associe	 	 	 
J18	1	 	JUMPER 3PTS	70-0003	Jumper 3 points en ligne 2.54mm avec cavalier associe	 	 	 
J19	1	 	JUMPER 3PTS	70-0003	Jumper 3 points en ligne 2.54mm avec cavalier associe	 	 	 
J20	1	 	JUMPER 3PTS	70-0003	Jumper 3 points en ligne 2.54mm avec cavalier associe	 	 	 
J21	1	 	JUMPER 3PTS	70-0003	Jumper 3 points en ligne 2.54mm avec cavalier associe	 	 	 
J13	1	 	MICROMATCH-4	70-0014	4pins smd on board connector Micromatch AMP 7-188275-4	Fa : 3784710	 	 
J14	1	 	MICROMATCH-4	70-0014	4pins smd on board connector Micromatch AMP 7-188275-4	Fa : 3784710	 	 
J15	1	 	MICROMATCH-4	70-0014	4pins smd on board connector Micromatch AMP 7-188275-4	Fa : 3784710	 	 
J16	1	 	MICROMATCH-4	70-0014	4pins smd on board connector Micromatch AMP 7-188275-4	Fa : 3784710	 	 
J17	1	 	MICROMATCH-4	70-0014	4pins smd on board connector Micromatch AMP 7-188275-4	Fa : 3784710	 	 
J24	1	 	PAD-3x2	70-0029	Pad pour test, 3x2mm	 	 	 
J26	1	 	PAD-3x2	70-0029	Pad pour test, 3x2mm	 	 	 
J27	1	 	PAD-3x2	70-0029	Pad pour test, 3x2mm	 	 	 
J28	1	 	PAD-3x2	70-0029	Pad pour test, 3x2mm	 	 	 
J29	1	 	PAD-3x2	70-0029	Pad pour test, 3x2mm	 	 	 
J30	1	 	PAD-3x2	70-0029	Pad pour test, 3x2mm	 	 	 
J31	1	 	PAD-3x2	70-0029	Pad pour test, 3x2mm	 	 	 
J32	1	 	PAD-3x2	70-0029	Pad pour test, 3x2mm	 	 	 
J3	1	 	PAD-3x2	70-0029	Pad pour test, 3x2mm	 	 	 
J4	1	 	PAD-3x2	70-0029	Pad pour test, 3x2mm	 	 	 
J5	1	 	PAD-3x2	70-0029	Pad pour test, 3x2mm	 	 	 
J6	1	 	PAD-3x2	70-0029	Pad pour test, 3x2mm	 	 	 
J7	1	 	PAD-3x2	70-0029	Pad pour test, 3x2mm	 	 	 
J8	1	 	PAD-3x2	70-0029	Pad pour test, 3x2mm	 	 	 
J9	1	 	PAD-3x2	70-0029	Pad pour test, 3x2mm	 	 	 
J10	1	 	PAD-3x2	70-0029	Pad pour test, 3x2mm	 	 	 
J11	1	 	1503-02	70-0040	Embase jack, stereo 3.5mm, SMD, Lumberg 1503 02	Fa : 1216979	 	 
J23	1	 	MICROMATCH-8	70-0053	8pins SMD femelle on board connector Micromatch  AMP 7-188275-8	Fa : 3784733 	 	 
J25	1	 	FTSH-105-01-L-DV	70-0081	Dual row 1.27 CMS 2x5 points connector, Samtec FTSH-105-01-L-DV 	Fa : 1667759	 	 
J1	1	 	U.FL-R-SMT01	70-0087	U.FL SMD receptacle, Hirose U.FL-R-SMT(01)	Fa : 3908021	 	 
J2	1	 	U.FL-R-SMT01	70-0087	U.FL SMD receptacle, Hirose U.FL-R-SMT(01)	Fa : 3908021	 	 
SW1	1	 	B3U-3000P	80-0035	Button Switch latéral / 2 pins / SMD / Omron B3U-3000P	Fa : 1333655	 	 
U1	1	 	AMW006	80-0056	Ultra-low power Wi-Fi networking module for battery powered applications , ACKME Networks AMW006 Numbat, 3.3V	Fa : 2454198	 	 
U2	1	 	RN42-I/RM	80-0066	Class 2 Bluetooth Module with EDR Support, with PCB antenna, Microchip RN42	Fa: 2143310	 	 
QZ1	1	 	25 MHz	81-0006	Quartz 25 MHz, +/- 10ppm, 40 ohms, 18pF, case HC49SMD, TXC  9C-25.000MEEJ-T	Fa : 1842314	 	 
